
> serp-filetypes@0.0.1 report:db-content /Users/devin/repos/projects/github@serptemplates/filetypes
> node scripts/report-db-content.mjs -- --format csv

slug,fields_total,fields_filled,fields_empty,summary_words,technical_words,how_to_open_words,how_to_convert_words,total_words
temx,12,6,6,13,115,0,0,128
ter,12,6,6,13,96,0,0,109
tera,12,7,5,13,82,23,0,118
terminal,12,6,6,13,110,0,0,123
terrn,12,6,6,13,29,0,0,42
terrn2,12,6,6,13,18,0,0,31
terx,12,7,5,13,106,122,0,241
tes,12,7,5,13,60,48,0,121
testrunconfig,12,6,6,13,14,0,0,27
testsettings,12,6,6,13,71,0,0,84
tet,12,7,5,13,190,119,0,322
tex,12,10,2,13,165,67,73,318
tex.emz,12,6,6,13,197,0,0,210
tex0,12,6,6,13,12,0,0,25
texi,12,3,9,6,0,0,0,6
texinfo,12,3,9,6,0,0,0,6
text,12,7,5,13,126,239,0,378
textclipping,12,6,6,13,83,0,0,96
textexpander,12,6,6,13,158,0,0,171
textexpandersettings,12,6,6,13,135,0,0,148
textfactory,12,6,6,13,62,0,0,75
texts,12,7,5,13,67,10,0,90
texture,12,7,5,13,408,201,0,622
texturelibrary,12,7,5,13,88,35,0,136
texty,12,7,5,13,66,43,0,122
tfa,12,6,6,13,9,0,0,22
tfc,12,7,5,13,76,25,0,114
tfd,12,6,6,13,7,0,0,20
tfi,12,4,8,6,0,0,0,6
tfil,12,5,7,13,0,0,0,13
tfl,12,7,5,13,164,38,0,215
tflite,12,7,5,13,136,28,0,177
tfm,12,6,6,13,48,0,0,61
tfmx,12,7,5,13,48,20,0,81
tfr,12,6,6,13,14,0,0,27
tfrd,12,6,6,13,20,0,0,33
tfrproj,12,7,5,13,106,71,0,190
tfw,12,6,6,13,58,0,0,71
tfx,12,6,6,13,112,0,0,125
tg,12,10,2,13,89,86,68,256
tg4,12,6,6,13,12,0,0,25
tga,12,10,2,13,184,62,86,345
tgc,12,6,6,13,76,0,0,89
tgd,12,6,6,13,53,0,0,66
tgf,12,5,7,13,0,0,0,13
tgi,12,7,5,13,83,50,0,146
tgo,12,6,6,13,28,0,0,41
tgp,12,6,6,13,51,0,0,64
tgq,12,7,5,13,56,48,0,117
tgs,12,10,2,13,215,106,33,367
tgv,12,7,5,13,76,60,0,149
tgw,12,7,5,13,79,17,0,109
tgz,12,8,4,13,68,0,0,81
th,12,5,7,13,0,0,0,13
tha,12,6,6,13,18,0,0,31
the,12,6,6,13,20,0,0,33
theater,12,6,6,13,46,0,0,59
theme,12,6,6,13,119,0,0,132
themepack,12,6,6,13,108,0,0,121
thespace,12,7,5,13,90,28,0,131
thing,12,6,6,13,39,0,0,52
thk,12,7,5,13,76,90,0,179
thl,12,5,7,13,0,0,0,13
thm,12,7,5,13,0,0,0,13
thmx,12,7,5,13,185,47,0,245
thor,12,7,5,13,128,27,0,168
thp,12,6,6,13,12,0,0,25
thumb,12,5,7,13,0,0,0,13
thumbdata,12,7,5,13,207,8,0,228
thumbdata3--1967290299,12,7,5,13,201,8,0,222
thumbdata3-1763508120,12,7,5,13,177,8,0,198
thumbdata4--1967290299,12,7,5,13,192,8,0,213
thumbdata4-1763508120,12,7,5,13,190,8,0,211
thumbnails,12,7,5,13,145,44,0,202
thx,12,7,5,13,26,21,0,60
ti,12,7,5,13,147,45,0,205
tiapp,12,6,6,13,64,0,0,77
tib,12,7,5,13,54,100,0,167
tibkp,12,6,6,13,39,0,0,52
tibx,12,7,5,13,290,42,0,345
tic,12,6,6,13,82,0,0,95
tid,12,6,6,13,31,0,0,44
tie,12,6,6,13,39,0,0,52
tif,12,8,4,13,110,74,51,248
tiff,12,10,2,13,167,60,52,292
tig,12,6,6,13,62,0,0,75
tiger,12,6,6,13,50,0,0,63
til,12,6,6,13,130,0,0,143
tilt,12,7,5,13,166,100,0,279
tim,12,6,6,13,27,0,0,40
timber,12,7,5,13,81,82,0,176
time,12,6,6,13,19,0,0,32
timeline,12,6,6,13,125,0,0,138
timer,12,6,6,13,102,0,0,115
timestamp,12,6,6,13,21,0,0,34
tini,12,7,5,13,155,114,0,282
tip,12,5,7,13,0,0,0,13
tipa,12,7,5,13,108,40,0,161
tiprogram,12,6,6,13,25,0,0,38
tis,12,6,6,13,23,0,0,36
tivo,12,5,7,13,0,0,0,13
tix,12,6,6,13,33,0,0,46
tja,12,7,5,13,143,80,0,236
tjc,12,5,7,13,0,0,0,13
tjp,12,6,6,13,32,0,0,45
tk,12,7,5,13,102,29,0,144
tk3,12,6,6,13,15,0,0,28
tkfl,12,7,5,13,12,50,0,75
tko,12,5,7,13,0,0,0,13
tkr,12,6,6,13,86,0,0,99
tl5,12,6,6,13,34,0,0,47
tla,12,7,5,13,80,52,0,145
tlb,12,7,5,13,99,47,0,159
tlc,12,5,7,13,0,0,0,13
tld,12,6,6,13,78,0,0,91
tldr,12,7,5,13,108,54,0,175
tlg,12,6,6,13,53,0,0,66
tlh,12,6,6,13,26,0,0,39
tli,12,6,6,13,12,0,0,25
tline,12,6,6,13,49,0,0,62
tlk,12,6,6,13,33,0,0,46
tll,12,6,6,13,68,0,0,81
tlm,12,7,5,13,70,61,0,144
tlo,12,6,6,13,24,0,0,37
tlp,12,6,6,13,106,0,0,119
tls,12,5,7,13,0,0,0,13
tlx,12,7,5,13,159,98,0,270
tlz,12,5,7,13,0,0,0,13
tlzma,12,6,6,13,17,0,0,30
tm,12,7,5,13,113,77,0,203
tm2,12,8,4,13,62,38,77,190
tm8,12,6,6,13,12,0,0,25
tmap,12,7,5,13,134,90,0,237
tmb,12,6,6,13,29,0,0,42
tmbundle,12,6,6,13,68,0,0,81
tmc,12,6,6,13,12,0,0,25
tmd,12,6,6,13,7,0,0,20
tmdx,12,6,6,13,95,0,0,108
tme,12,6,6,13,39,0,0,52
